"expStartTime" "subjectID" "condition" "block" "timespent" "berries_found" "area_visited" "time_before_first_patch_entered" "amount_of_patches_entered" "amount_of_unique_patches_entered" "ratio_patch_repetition" "mean_time_in_patches" "sd_time_in_patches" "median_time_in_patches" "total_time_in_patches" "min_time_in_patch" "max_time_in_patch" "interbushinterval" "eucdist_after_food_200" "total_angle_after_food_200" "mean_angle_after_food_200" "eucdist_after_food_300" "total_angle_after_food_300" "mean_angle_after_food_300" "mean_speed_polygon" "mean_speed_magnifier" "mean_speed_pxps_polygon" "mean_speed_pxps_magnifier" "mean_speed_after_food_200" "mean_speed_after_food_200_pxps" "mean_speed_after_food_300" "mean_speed_after_food_300_pxps" "mean_angle_after_food_200_t1" "mean_angle_after_food_300_t1" "mean_angle_after_food_200_t2" "mean_angle_after_food_300_t2" "mean_angle_after_food_200_t3" "mean_angle_after_food_300_t3" "mean_angle_after_food_200_t4" "mean_angle_after_food_300_t4" "mean_angle_after_food_200_t5" "mean_angle_after_food_300_t5" "mean_speed_after_food_200_t1" "mean_speed_after_food_300_t1" "mean_speed_after_food_200_t2" "mean_speed_after_food_300_t2" "mean_speed_after_food_200_t3" "mean_speed_after_food_300_t3" "mean_speed_after_food_200_t4" "mean_speed_after_food_300_t4" "mean_speed_after_food_200_t5" "mean_speed_after_food_300_t5"
20190305120100 1 "excited" "baseline" 299.991391325216 113 3.80027777777778 17.7873936858248 9 6 0.666666666666667 22.9722706636687 15.1909458170736 30.961224135563 206.750435973019 1.2105116513543 38.300131161694 8.22142833424647 9.43001332092602 652.420696765052 5.77363448464648 13.7456135413402 898.862677787987 7.9545369715751 1.70662892192637 0.836529152882541 102.397735315582 75.2876237594287 1.97024750121414 177.322275109273 1.97109925515277 177.39893296375 13.9136255105537 19.4929649384286 2.85491959342685 4.88064176472737 1.84597217732474 2.42701422931467 11.196491602255 14.82398499003 6.99062358733227 8.92403311170183 1.40032675552368 1.42472079277039 1.7841247467041 1.78022681100028 2.00952124971332 2.01024833869743 2.12232069969177 2.11683514595032 2.25898406437465 2.26596702668161
20190305120100 1 "excited" "main" 299.990347767157 135 3.78055555555556 10.507698995232 6 6 1 38.3310609205064 3.8676488232971 38.468088012666 229.986365523038 33.7643862040236 43.3403104109779 11.1656273649482 9.5446522377678 492.288301920531 3.64658001422616 14.0268700880629 811.902342283972 6.01409142432572 1.89756734514574 0.820417235222127 113.854040708744 73.8375511699915 2.05511471974133 184.96032477672 2.05513361700767 184.96202553069 2.88652995083946 3.98312423711269 7.22385446877577 12.0254011592681 4.23233121412653 6.50997654471214 2.66423107733945 5.40605817321454 1.8702116242992 2.84881307690439 1.73481626834794 1.73394073479949 1.83133293845437 1.83183022001192 1.99417729187012 1.99695071939322 2.20207938836545 2.20191261826552 2.41409163992746 2.4114669333718
20190305130517 2 "sad" "baseline" 299.988364493669 125 3.74638888888889 9.53391201450173 5 5 1 48.8468157593267 5.06344809691885 49.27452127491 244.234078796633 42.407080920275 55.3644984989612 11.5550934206334 9.2660442063745 1455.90796877194 11.6472637501755 13.6302346610638 2285.57524268531 18.2846019414825 1.83769556656727 0.871990512489614 110.261733994036 78.4791461240653 1.98232898393903 178.409608554513 1.98014685594356 178.21321703492 14.7961599323419 22.6424746398347 14.0579896011909 21.3966484141409 11.4204920033954 17.4061947813443 6.67629581736955 11.7241200477485 10.7919089547407 17.7203759658809 1.63291619456898 1.6289604088043 1.85074860321045 1.84836245816074 1.98757426723357 1.98282350596279 2.1457943687439 2.1492221031189 2.26176155453637 2.26000725177804
20190305130517 2 "sad" "main" 300.005160737222 137 3.81194444444444 16.4111896471312 6 6 1 37.8460498796803 11.5814757451719 38.9791449887631 227.076299278082 18.656111848172 49.8528127315895 11.3035343624018 9.5546763086091 1333.29024864316 9.732045610534 13.9999246585595 1967.82512054582 14.3636870112834 1.91923562060194 0.955310291395158 115.154137236117 85.9779262255642 2.0870903883285 187.838134949565 2.08734135265032 187.860721738529 7.66663616676887 12.6932114915104 11.9107896477704 18.2663296255954 10.8393799326663 15.0803966183161 9.32941596950147 13.1505107370409 8.2526831302798 11.4925885873004 1.82328821406331 1.82245768834853 1.90227963349313 1.90166445598025 2.0830231816428 2.0864313345689 2.2801679843405 2.28140127249857 2.40674625941685 2.40498636049213
20190307131255 3 "excited" "baseline" 300.003156955762 68 3.54055555555556 17.3730128279628 3 2 0.666666666666667 88.8894038119128 76.0293179536856 127.817621355486 266.668211435738 1.2791095440707 137.571480536182 7.9809663460305 8.9064914089076 582.818492653923 8.5708601860871 13.0996070187543 1179.47877682848 17.3452761298306 1.41824104359852 0.284984615423622 85.0944626159114 25.648615388126 1.75431759407941 157.888583467147 1.7304038008762 155.736342078858 15.8864949238326 21.445070428539 5.42853100449495 10.2583491682467 4.50827082034229 7.85799649010767 7.98847172546721 24.9900744082326 7.54711303081587 10.7254525926628 1.47359221104213 1.49024187224252 1.72743674603631 1.70576369110877 1.82010240827288 1.77544771466937 1.85344767363175 1.80059200981275 1.98955248696463 1.99490561013693
20190307131255 3 "excited" "main" 299.993327466995 80 3.77972222222222 5.97906652760525 3 3 1 92.6627903548534 55.5438839980131 119.823965152135 277.98837106456 28.764949580175 129.39945633225 8.01294493741449 9.21634107890333 560.021667669178 7.00027084586473 13.7091273779462 729.852103720075 9.12315129650094 1.68841366210602 0.738365435158462 101.304819726361 66.4528891642616 1.9057018330574 171.513164975166 1.91327349932168 172.194614938951 3.40235467932473 5.56177313877944 8.99469857436884 13.9829334485439 2.11081862698423 2.24125755345609 5.50920598099087 7.02300357766332 14.5592457549123 17.0725908213067 1.68236445537366 1.68988839330944 1.74370308893377 1.75529523141044 1.86606583658854 1.86170357806866 2.12659853594644 2.1450363846092 2.06810125738158 2.07366405802963
20190307140827 4 "sad" "baseline" 299.998204779506 140 4.14833333333333 7.67927979871313 7 6 0.857142857142857 36.751744581812 22.5807911903888 45.72142959563 257.262212072684 2.90019576265173 60.6049370827591 5.8427854846849 9.58572799347164 3305.33140406309 23.609510029022 13.7719025201684 5189.02771299036 37.0644836642168 1.61271475735398 0.726907026831573 96.7628854412385 65.4216324148416 1.75041341579487 157.537207421538 1.73350522604241 156.015470343817 22.1460123394964 34.7063002755105 15.4574701930352 21.7140486128672 31.2297299218737 43.6904417607142 25.6288771042362 43.1880395115305 24.7488469501028 42.8622881567259 1.42383930528319 1.41221100109966 1.68244735057675 1.66130650021697 1.67987374565818 1.68199819517136 1.88553407927482 1.86874391664913 2.05824564797538 2.02399703602214
20190307140827 4 "sad" "main" 300.000624870762 145 4.18305555555556 6.53953635796944 7 7 1 35.3740246528551 10.521710753017 35.359032023872 247.618172569986 17.494118215285 47.591509002516 7.64048599046783 9.66796138851343 2151.67872624414 14.8391636292699 14.0182945675607 3132.12118428103 21.6008357536623 1.66499155227219 0.853519791657604 99.8994931363316 76.8167812491844 1.78316689428115 160.485020485304 1.77473226900212 159.725904210191 13.6638597394887 21.0330954401057 16.3889055393258 24.1984255502656 22.386001583823 28.9838246620833 13.8981222774083 21.1572360648226 5.72169795878452 9.81582979786464 1.46043628692627 1.45332717745912 1.6171060458659 1.62072234148373 1.74472277621565 1.7365510014877 1.97227172605453 1.95799095324192 2.16410087789808 2.14299589657283
20190307150331 5 "excited" "baseline" 300.0138491888 134 4.17583333333333 14.4241003898651 10 6 0.6 23.4427050262854 21.9203052447379 24.7262664575714 234.427050262854 0.514203131296799 64.554070791518 5.6847442817868 9.60824309738412 2839.28829689419 21.1887186335387 13.8256223455225 4152.3836714786 30.9879378468552 1.51655243889544 0.948658553527129 90.9931463337264 85.3792698174416 1.72544826325891 155.290343693302 1.71376387295304 154.238748565773 24.9027761879298 31.0225957752964 16.9585470355038 27.3529057295876 17.8553072093647 26.5122676748535 30.0571173695717 40.4664390791676 19.5402558452115 31.2595245182428 1.37341757093157 1.3786217716762 1.52477077885678 1.50947112591274 1.71844151639072 1.71006852188431 1.88041753496443 1.86765042602922 2.07649980068207 2.05781182509202
20190307150331 5 "excited" "main" 300.003720848798 126 4.26305555555556 6.57275382356005 4 4 1 67.7492820778311 9.25422807463663 66.1142135458094 270.997128311324 58.3045508401794 80.464150379526 7.47794623797111 9.60450524832059 2205.53499799405 17.5042460158258 13.9573268358761 3560.16241590836 28.255257269114 1.65193205232304 0.861439888531444 99.1159231393823 77.5295899678299 1.73297572589781 155.967815330803 1.7227393489336 155.046541404024 25.2108679551977 36.7139794406909 8.75742499087167 16.3877292505954 23.5591512551279 36.6925450987894 13.6016185172935 24.7552831649793 15.427454513409 25.3190998072062 1.43374684095383 1.43227308245266 1.59712258321589 1.59594276167098 1.76245838274275 1.75057275772095 1.95763681972728 1.93466998023312 2.03818817647298 2.02593238713191
