"expStartTime" "subjectID" "condition" "block" "timespent" "berries_found" "delta_after_food_200" "delta_after_food_300" "delta_speed_after_food_200" "delta_speed_after_food_300" "delta_speed_after_food_200_t1" "delta_speed_after_food_300_t1" "delta_speed_after_food_200_t2" "delta_speed_after_food_300_t2" "delta_speed_after_food_200_t3" "delta_speed_after_food_300_t3" "delta_speed_after_food_200_t4" "delta_speed_after_food_300_t4" "delta_speed_after_food_200_t5" "delta_speed_after_food_300_t5" "mean_speed_pxps_t1" "mean_speed_pxps_t2" "mean_speed_pxps_t3" "mean_speed_pxps_t4" "mean_speed_pxps_t5"
20190305120100 1 "excited" "baseline" 299.991391325216 114 0.0109843803198925 0.0103876179727755 0.0555483795628989 0.0568772954167913 0.0526956138610845 0.0498855972290044 0.0570799570719401 0.0551027352469308 0.0457192426739319 0.047187483003447 0.0600620555877689 0.0586138153076175 0.0662654958452495 0.0783916133533823 34.5457423165518 106.389596688782 119.60471739372 128.860660577695 135.247661734054
20190305120100 1 "excited" "main" 299.990347767157 135 0.00822529689064452 0.00896977750103428 0.0501907071214962 0.0496601050475233 0.0538726592836648 0.0524354862098314 0.0445849886807514 0.0428461244261096 0.0530225677490237 0.055250436636118 0.0522082517974234 0.0500639018269332 0.0455135480608255 0.0458293439275565 83.0966615151392 108.12053344033 116.309020021565 130.199389966719 142.953256717805
20190305130517 2 "sad" "baseline" 299.988364493669 125 0.02599903070359 0.0263489983730462 0.0553340443464006 0.0549081321442838 0.0737562006170104 0.07329986148114 0.0595976284790026 0.0571693446299781 0.0498593115037488 0.051395743558357 0.0494224433898927 0.0498026618957521 0.0470404034569153 0.0456431356102531 79.173581200249 108.631952183421 117.655327848319 116.9303297978 135.79217830854
20190305130517 2 "sad" "main" 300.005160737222 138 0.018970195764518 0.0190912132685039 0.0617213633985062 0.0641535623279853 0.0918191856170876 0.103324253217709 0.0504364235617885 0.0499693421729402 0.0486218357086185 0.055672593378759 0.0602121578240249 0.0596210929056403 0.0614012945265987 0.0564259782270943 72.4956875986128 111.208167531054 124.063038013681 133.323202233579 144.760691913211
20190307131255 3 "excited" "baseline" 300.003156955762 68 0.015422158548478 0.0167772591871785 0.0594361424165611 0.0588246979180194 0.0538169119698664 0.0510130199899483 0.0598568330652571 0.0559530760180047 0.0601464407784568 0.0714077135981315 0.0585427392047384 0.0598039701983965 0.0718780953543532 0.0656213680728456 45.0900449820085 100.725997582552 71.7353112275024 104.096946563885 113.045198267887
20190307131255 3 "excited" "main" 299.993327466995 80 0.0107255549657912 0.00995543216015552 0.074591787202018 0.0748889760283208 0.0678438178614578 0.0691798609065636 0.0527042541503916 0.0553009013386527 0.0473282267252593 0.049599627484331 0.107993078231812 0.110101528034344 0.0874079467658715 0.0822511552369111 82.1799331755048 104.335414812477 85.2952822373298 118.805755404928 121.208069212747
20190307140827 4 "sad" "baseline" 299.998204779506 140 0.0366197760083999 0.0403390769119567 0.129565365129941 0.109325746183954 0.0629617837187534 0.0478637147150121 0.182498728976354 0.157912427326696 0.122337020874023 0.0964421782493592 0.123018970120337 0.108967289202181 0.154788623537336 0.13190577921453 66.020550278846 93.0248049777223 100.056086757461 112.161623432044 121.758728900507
20190307140827 4 "sad" "main" 300.000624870762 145 0.0283174714056504 0.0270028067240229 0.114104795370004 0.0954973885414577 0.0409681510925295 0.0336094860002108 0.12306356451611 0.106899083906213 0.120918742212756 0.108218834036089 0.123865399514475 0.0994726167643 0.152589037758964 0.119301260968189 76.0410226970425 91.3981944647361 101.099723922599 113.225410480892 126.438629229429
20190307150331 5 "excited" "baseline" 300.0138491888 134 0.0317545690813989 0.0323016664392174 0.111029153226027 0.0920732980380775 0.0296865463256839 0.0248488834926062 0.0885153251173395 0.071376642280319 0.119208614002574 0.0969377825696929 0.141326293945312 0.124629598824158 0.148554911613464 0.11999428822444 51.8646584912188 89.1178119210822 99.9259922081317 103.487912150792 124.282365587811
20190307150331 5 "excited" "main" 300.003720848798 126 0.0309446050827015 0.0330604121510787 0.106256907882014 0.086531952484619 0.0586850380897525 0.04229963723351 0.0992677381688899 0.0848559682576264 0.111975703648158 0.0990609103611537 0.140049950703853 0.113908842019204 0.134322357177735 0.103980975811298 76.2830711475317 91.8034389528529 102.708175473305 113.863363347819 120.119631576967
