expStartTime,subjectID,condition,block,timespent,patch_number,patch_center_coordinates,patch_times_entered,patch_color,patch_value_per_berry,patch_points_scored,total_points_scored,total_patches_entered,unique_patches_entered,all_encountered_berry_coords
20190308140525,0039,excited,main,300.02807231,1,(49, 167),1,(255, 0, 0),1,22,144,7,6,(64, 173)--(62, 176)--(52, 181)--(50, 180)--(30, 177)--(28, 175)--(30, 172)--(32, 160)--(38, 160)--(36, 162)--(41, 169)--(42, 179)--(48, 149)--(52, 156)--(60, 148)--(65, 151)--(67, 158)--(68, 160)--(60, 165)--(52, 174)--(48, 160)--(45, 173)--(96, 401)--(95, 406)--(87, 414)--(83, 409)--(85, 413)--(76, 388)--(75, 386)--(83, 391)--(84, 395)--(85, 403)--(88, 392)--(88, 388)--(92, 375)--(93, 387)--(93, 392)--(94, 396)--(100, 394)--(99, 385)--(99, 380)--(104, 377)--(106, 389)--(110, 383)--(104, 400)--(322, 498)--(318, 494)--(320, 493)--(317, 480)--(320, 479)--(327, 492)--(331, 499)--(331, 503)--(333, 504)--(335, 495)--(332, 495)--(333, 486)--(332, 483)--(328, 482)--(334, 466)--(335, 468)--(340, 495)--(340, 500)--(350, 499)--(353, 492)--(350, 488)--(349, 482)--(356, 476)--(347, 476)--(338, 475)--(340, 470)--(344, 470)--(344, 467)--(327, 470)--(332, 476)--(535, 407)--(538, 397)--(544, 387)--(545, 391)--(545, 398)--(559, 388)--(564, 396)--(559, 402)--(561, 410)--(567, 407)--(566, 417)--(558, 414)--(556, 412)--(553, 414)--(553, 417)--(557, 422)--(541, 404)--(540, 408)--(540, 411)--(533, 420)--(528, 409)--(531, 407)--(393, 243)--(389, 238)--(386, 235)--(383, 236)--(372, 238)--(372, 241)--(370, 243)--(367, 250)--(377, 254)--(374, 257)--(371, 267)--(379, 264)--(379, 267)--(378, 269)--(385, 266)--(391, 264)--(399, 263)--(402, 260)--(405, 254)--(384, 258)--(380, 259)--(382, 232)--(393, 102)--(397, 96)--(399, 97)--(395, 72)--(395, 79)--(393, 87)--(389, 87)--(390, 78)--(386, 65)--(382, 72)--(378, 89)--(378, 80)--(367, 86)--(367, 79)--(361, 82)--(365, 90)--(366, 95)--(369, 107)--(371, 108)--(378, 92)--(377, 101)--(375, 108)--(384, 97)--(385, 90)--(386, 82)
20190308140525,0039,excited,main,300.028215396,2,(547, 407),1,(255, 0, 0),1,22,144,7,6,(64, 173)--(62, 176)--(52, 181)--(50, 180)--(30, 177)--(28, 175)--(30, 172)--(32, 160)--(38, 160)--(36, 162)--(41, 169)--(42, 179)--(48, 149)--(52, 156)--(60, 148)--(65, 151)--(67, 158)--(68, 160)--(60, 165)--(52, 174)--(48, 160)--(45, 173)--(96, 401)--(95, 406)--(87, 414)--(83, 409)--(85, 413)--(76, 388)--(75, 386)--(83, 391)--(84, 395)--(85, 403)--(88, 392)--(88, 388)--(92, 375)--(93, 387)--(93, 392)--(94, 396)--(100, 394)--(99, 385)--(99, 380)--(104, 377)--(106, 389)--(110, 383)--(104, 400)--(322, 498)--(318, 494)--(320, 493)--(317, 480)--(320, 479)--(327, 492)--(331, 499)--(331, 503)--(333, 504)--(335, 495)--(332, 495)--(333, 486)--(332, 483)--(328, 482)--(334, 466)--(335, 468)--(340, 495)--(340, 500)--(350, 499)--(353, 492)--(350, 488)--(349, 482)--(356, 476)--(347, 476)--(338, 475)--(340, 470)--(344, 470)--(344, 467)--(327, 470)--(332, 476)--(535, 407)--(538, 397)--(544, 387)--(545, 391)--(545, 398)--(559, 388)--(564, 396)--(559, 402)--(561, 410)--(567, 407)--(566, 417)--(558, 414)--(556, 412)--(553, 414)--(553, 417)--(557, 422)--(541, 404)--(540, 408)--(540, 411)--(533, 420)--(528, 409)--(531, 407)--(393, 243)--(389, 238)--(386, 235)--(383, 236)--(372, 238)--(372, 241)--(370, 243)--(367, 250)--(377, 254)--(374, 257)--(371, 267)--(379, 264)--(379, 267)--(378, 269)--(385, 266)--(391, 264)--(399, 263)--(402, 260)--(405, 254)--(384, 258)--(380, 259)--(382, 232)--(393, 102)--(397, 96)--(399, 97)--(395, 72)--(395, 79)--(393, 87)--(389, 87)--(390, 78)--(386, 65)--(382, 72)--(378, 89)--(378, 80)--(367, 86)--(367, 79)--(361, 82)--(365, 90)--(366, 95)--(369, 107)--(371, 108)--(378, 92)--(377, 101)--(375, 108)--(384, 97)--(385, 90)--(386, 82)
20190308140525,0039,excited,main,300.028308371,3,(509, 242),0,(255, 0, 0),1,0,144,7,6,(64, 173)--(62, 176)--(52, 181)--(50, 180)--(30, 177)--(28, 175)--(30, 172)--(32, 160)--(38, 160)--(36, 162)--(41, 169)--(42, 179)--(48, 149)--(52, 156)--(60, 148)--(65, 151)--(67, 158)--(68, 160)--(60, 165)--(52, 174)--(48, 160)--(45, 173)--(96, 401)--(95, 406)--(87, 414)--(83, 409)--(85, 413)--(76, 388)--(75, 386)--(83, 391)--(84, 395)--(85, 403)--(88, 392)--(88, 388)--(92, 375)--(93, 387)--(93, 392)--(94, 396)--(100, 394)--(99, 385)--(99, 380)--(104, 377)--(106, 389)--(110, 383)--(104, 400)--(322, 498)--(318, 494)--(320, 493)--(317, 480)--(320, 479)--(327, 492)--(331, 499)--(331, 503)--(333, 504)--(335, 495)--(332, 495)--(333, 486)--(332, 483)--(328, 482)--(334, 466)--(335, 468)--(340, 495)--(340, 500)--(350, 499)--(353, 492)--(350, 488)--(349, 482)--(356, 476)--(347, 476)--(338, 475)--(340, 470)--(344, 470)--(344, 467)--(327, 470)--(332, 476)--(535, 407)--(538, 397)--(544, 387)--(545, 391)--(545, 398)--(559, 388)--(564, 396)--(559, 402)--(561, 410)--(567, 407)--(566, 417)--(558, 414)--(556, 412)--(553, 414)--(553, 417)--(557, 422)--(541, 404)--(540, 408)--(540, 411)--(533, 420)--(528, 409)--(531, 407)--(393, 243)--(389, 238)--(386, 235)--(383, 236)--(372, 238)--(372, 241)--(370, 243)--(367, 250)--(377, 254)--(374, 257)--(371, 267)--(379, 264)--(379, 267)--(378, 269)--(385, 266)--(391, 264)--(399, 263)--(402, 260)--(405, 254)--(384, 258)--(380, 259)--(382, 232)--(393, 102)--(397, 96)--(399, 97)--(395, 72)--(395, 79)--(393, 87)--(389, 87)--(390, 78)--(386, 65)--(382, 72)--(378, 89)--(378, 80)--(367, 86)--(367, 79)--(361, 82)--(365, 90)--(366, 95)--(369, 107)--(371, 108)--(378, 92)--(377, 101)--(375, 108)--(384, 97)--(385, 90)--(386, 82)
20190308140525,0039,excited,main,300.028514548,4,(47, 516),0,(255, 0, 0),1,0,144,7,6,(64, 173)--(62, 176)--(52, 181)--(50, 180)--(30, 177)--(28, 175)--(30, 172)--(32, 160)--(38, 160)--(36, 162)--(41, 169)--(42, 179)--(48, 149)--(52, 156)--(60, 148)--(65, 151)--(67, 158)--(68, 160)--(60, 165)--(52, 174)--(48, 160)--(45, 173)--(96, 401)--(95, 406)--(87, 414)--(83, 409)--(85, 413)--(76, 388)--(75, 386)--(83, 391)--(84, 395)--(85, 403)--(88, 392)--(88, 388)--(92, 375)--(93, 387)--(93, 392)--(94, 396)--(100, 394)--(99, 385)--(99, 380)--(104, 377)--(106, 389)--(110, 383)--(104, 400)--(322, 498)--(318, 494)--(320, 493)--(317, 480)--(320, 479)--(327, 492)--(331, 499)--(331, 503)--(333, 504)--(335, 495)--(332, 495)--(333, 486)--(332, 483)--(328, 482)--(334, 466)--(335, 468)--(340, 495)--(340, 500)--(350, 499)--(353, 492)--(350, 488)--(349, 482)--(356, 476)--(347, 476)--(338, 475)--(340, 470)--(344, 470)--(344, 467)--(327, 470)--(332, 476)--(535, 407)--(538, 397)--(544, 387)--(545, 391)--(545, 398)--(559, 388)--(564, 396)--(559, 402)--(561, 410)--(567, 407)--(566, 417)--(558, 414)--(556, 412)--(553, 414)--(553, 417)--(557, 422)--(541, 404)--(540, 408)--(540, 411)--(533, 420)--(528, 409)--(531, 407)--(393, 243)--(389, 238)--(386, 235)--(383, 236)--(372, 238)--(372, 241)--(370, 243)--(367, 250)--(377, 254)--(374, 257)--(371, 267)--(379, 264)--(379, 267)--(378, 269)--(385, 266)--(391, 264)--(399, 263)--(402, 260)--(405, 254)--(384, 258)--(380, 259)--(382, 232)--(393, 102)--(397, 96)--(399, 97)--(395, 72)--(395, 79)--(393, 87)--(389, 87)--(390, 78)--(386, 65)--(382, 72)--(378, 89)--(378, 80)--(367, 86)--(367, 79)--(361, 82)--(365, 90)--(366, 95)--(369, 107)--(371, 108)--(378, 92)--(377, 101)--(375, 108)--(384, 97)--(385, 90)--(386, 82)
20190308140525,0039,excited,main,300.028610844,5,(95, 396),1,(255, 0, 0),1,23,144,7,6,(64, 173)--(62, 176)--(52, 181)--(50, 180)--(30, 177)--(28, 175)--(30, 172)--(32, 160)--(38, 160)--(36, 162)--(41, 169)--(42, 179)--(48, 149)--(52, 156)--(60, 148)--(65, 151)--(67, 158)--(68, 160)--(60, 165)--(52, 174)--(48, 160)--(45, 173)--(96, 401)--(95, 406)--(87, 414)--(83, 409)--(85, 413)--(76, 388)--(75, 386)--(83, 391)--(84, 395)--(85, 403)--(88, 392)--(88, 388)--(92, 375)--(93, 387)--(93, 392)--(94, 396)--(100, 394)--(99, 385)--(99, 380)--(104, 377)--(106, 389)--(110, 383)--(104, 400)--(322, 498)--(318, 494)--(320, 493)--(317, 480)--(320, 479)--(327, 492)--(331, 499)--(331, 503)--(333, 504)--(335, 495)--(332, 495)--(333, 486)--(332, 483)--(328, 482)--(334, 466)--(335, 468)--(340, 495)--(340, 500)--(350, 499)--(353, 492)--(350, 488)--(349, 482)--(356, 476)--(347, 476)--(338, 475)--(340, 470)--(344, 470)--(344, 467)--(327, 470)--(332, 476)--(535, 407)--(538, 397)--(544, 387)--(545, 391)--(545, 398)--(559, 388)--(564, 396)--(559, 402)--(561, 410)--(567, 407)--(566, 417)--(558, 414)--(556, 412)--(553, 414)--(553, 417)--(557, 422)--(541, 404)--(540, 408)--(540, 411)--(533, 420)--(528, 409)--(531, 407)--(393, 243)--(389, 238)--(386, 235)--(383, 236)--(372, 238)--(372, 241)--(370, 243)--(367, 250)--(377, 254)--(374, 257)--(371, 267)--(379, 264)--(379, 267)--(378, 269)--(385, 266)--(391, 264)--(399, 263)--(402, 260)--(405, 254)--(384, 258)--(380, 259)--(382, 232)--(393, 102)--(397, 96)--(399, 97)--(395, 72)--(395, 79)--(393, 87)--(389, 87)--(390, 78)--(386, 65)--(382, 72)--(378, 89)--(378, 80)--(367, 86)--(367, 79)--(361, 82)--(365, 90)--(366, 95)--(369, 107)--(371, 108)--(378, 92)--(377, 101)--(375, 108)--(384, 97)--(385, 90)--(386, 82)
20190308140525,0039,excited,main,300.028740648,6,(386, 251),1,(255, 0, 0),1,22,144,7,6,(64, 173)--(62, 176)--(52, 181)--(50, 180)--(30, 177)--(28, 175)--(30, 172)--(32, 160)--(38, 160)--(36, 162)--(41, 169)--(42, 179)--(48, 149)--(52, 156)--(60, 148)--(65, 151)--(67, 158)--(68, 160)--(60, 165)--(52, 174)--(48, 160)--(45, 173)--(96, 401)--(95, 406)--(87, 414)--(83, 409)--(85, 413)--(76, 388)--(75, 386)--(83, 391)--(84, 395)--(85, 403)--(88, 392)--(88, 388)--(92, 375)--(93, 387)--(93, 392)--(94, 396)--(100, 394)--(99, 385)--(99, 380)--(104, 377)--(106, 389)--(110, 383)--(104, 400)--(322, 498)--(318, 494)--(320, 493)--(317, 480)--(320, 479)--(327, 492)--(331, 499)--(331, 503)--(333, 504)--(335, 495)--(332, 495)--(333, 486)--(332, 483)--(328, 482)--(334, 466)--(335, 468)--(340, 495)--(340, 500)--(350, 499)--(353, 492)--(350, 488)--(349, 482)--(356, 476)--(347, 476)--(338, 475)--(340, 470)--(344, 470)--(344, 467)--(327, 470)--(332, 476)--(535, 407)--(538, 397)--(544, 387)--(545, 391)--(545, 398)--(559, 388)--(564, 396)--(559, 402)--(561, 410)--(567, 407)--(566, 417)--(558, 414)--(556, 412)--(553, 414)--(553, 417)--(557, 422)--(541, 404)--(540, 408)--(540, 411)--(533, 420)--(528, 409)--(531, 407)--(393, 243)--(389, 238)--(386, 235)--(383, 236)--(372, 238)--(372, 241)--(370, 243)--(367, 250)--(377, 254)--(374, 257)--(371, 267)--(379, 264)--(379, 267)--(378, 269)--(385, 266)--(391, 264)--(399, 263)--(402, 260)--(405, 254)--(384, 258)--(380, 259)--(382, 232)--(393, 102)--(397, 96)--(399, 97)--(395, 72)--(395, 79)--(393, 87)--(389, 87)--(390, 78)--(386, 65)--(382, 72)--(378, 89)--(378, 80)--(367, 86)--(367, 79)--(361, 82)--(365, 90)--(366, 95)--(369, 107)--(371, 108)--(378, 92)--(377, 101)--(375, 108)--(384, 97)--(385, 90)--(386, 82)
20190308140525,0039,excited,main,300.028834529,7,(548, 117),0,(255, 0, 0),1,0,144,7,6,(64, 173)--(62, 176)--(52, 181)--(50, 180)--(30, 177)--(28, 175)--(30, 172)--(32, 160)--(38, 160)--(36, 162)--(41, 169)--(42, 179)--(48, 149)--(52, 156)--(60, 148)--(65, 151)--(67, 158)--(68, 160)--(60, 165)--(52, 174)--(48, 160)--(45, 173)--(96, 401)--(95, 406)--(87, 414)--(83, 409)--(85, 413)--(76, 388)--(75, 386)--(83, 391)--(84, 395)--(85, 403)--(88, 392)--(88, 388)--(92, 375)--(93, 387)--(93, 392)--(94, 396)--(100, 394)--(99, 385)--(99, 380)--(104, 377)--(106, 389)--(110, 383)--(104, 400)--(322, 498)--(318, 494)--(320, 493)--(317, 480)--(320, 479)--(327, 492)--(331, 499)--(331, 503)--(333, 504)--(335, 495)--(332, 495)--(333, 486)--(332, 483)--(328, 482)--(334, 466)--(335, 468)--(340, 495)--(340, 500)--(350, 499)--(353, 492)--(350, 488)--(349, 482)--(356, 476)--(347, 476)--(338, 475)--(340, 470)--(344, 470)--(344, 467)--(327, 470)--(332, 476)--(535, 407)--(538, 397)--(544, 387)--(545, 391)--(545, 398)--(559, 388)--(564, 396)--(559, 402)--(561, 410)--(567, 407)--(566, 417)--(558, 414)--(556, 412)--(553, 414)--(553, 417)--(557, 422)--(541, 404)--(540, 408)--(540, 411)--(533, 420)--(528, 409)--(531, 407)--(393, 243)--(389, 238)--(386, 235)--(383, 236)--(372, 238)--(372, 241)--(370, 243)--(367, 250)--(377, 254)--(374, 257)--(371, 267)--(379, 264)--(379, 267)--(378, 269)--(385, 266)--(391, 264)--(399, 263)--(402, 260)--(405, 254)--(384, 258)--(380, 259)--(382, 232)--(393, 102)--(397, 96)--(399, 97)--(395, 72)--(395, 79)--(393, 87)--(389, 87)--(390, 78)--(386, 65)--(382, 72)--(378, 89)--(378, 80)--(367, 86)--(367, 79)--(361, 82)--(365, 90)--(366, 95)--(369, 107)--(371, 108)--(378, 92)--(377, 101)--(375, 108)--(384, 97)--(385, 90)--(386, 82)
20190308140525,0039,excited,main,300.028925392,8,(379, 87),1,(255, 0, 0),1,25,144,7,6,(64, 173)--(62, 176)--(52, 181)--(50, 180)--(30, 177)--(28, 175)--(30, 172)--(32, 160)--(38, 160)--(36, 162)--(41, 169)--(42, 179)--(48, 149)--(52, 156)--(60, 148)--(65, 151)--(67, 158)--(68, 160)--(60, 165)--(52, 174)--(48, 160)--(45, 173)--(96, 401)--(95, 406)--(87, 414)--(83, 409)--(85, 413)--(76, 388)--(75, 386)--(83, 391)--(84, 395)--(85, 403)--(88, 392)--(88, 388)--(92, 375)--(93, 387)--(93, 392)--(94, 396)--(100, 394)--(99, 385)--(99, 380)--(104, 377)--(106, 389)--(110, 383)--(104, 400)--(322, 498)--(318, 494)--(320, 493)--(317, 480)--(320, 479)--(327, 492)--(331, 499)--(331, 503)--(333, 504)--(335, 495)--(332, 495)--(333, 486)--(332, 483)--(328, 482)--(334, 466)--(335, 468)--(340, 495)--(340, 500)--(350, 499)--(353, 492)--(350, 488)--(349, 482)--(356, 476)--(347, 476)--(338, 475)--(340, 470)--(344, 470)--(344, 467)--(327, 470)--(332, 476)--(535, 407)--(538, 397)--(544, 387)--(545, 391)--(545, 398)--(559, 388)--(564, 396)--(559, 402)--(561, 410)--(567, 407)--(566, 417)--(558, 414)--(556, 412)--(553, 414)--(553, 417)--(557, 422)--(541, 404)--(540, 408)--(540, 411)--(533, 420)--(528, 409)--(531, 407)--(393, 243)--(389, 238)--(386, 235)--(383, 236)--(372, 238)--(372, 241)--(370, 243)--(367, 250)--(377, 254)--(374, 257)--(371, 267)--(379, 264)--(379, 267)--(378, 269)--(385, 266)--(391, 264)--(399, 263)--(402, 260)--(405, 254)--(384, 258)--(380, 259)--(382, 232)--(393, 102)--(397, 96)--(399, 97)--(395, 72)--(395, 79)--(393, 87)--(389, 87)--(390, 78)--(386, 65)--(382, 72)--(378, 89)--(378, 80)--(367, 86)--(367, 79)--(361, 82)--(365, 90)--(366, 95)--(369, 107)--(371, 108)--(378, 92)--(377, 101)--(375, 108)--(384, 97)--(385, 90)--(386, 82)
20190308140525,0039,excited,main,300.029060327,9,(335, 486),2,(255, 0, 0),1,30,144,7,6,(64, 173)--(62, 176)--(52, 181)--(50, 180)--(30, 177)--(28, 175)--(30, 172)--(32, 160)--(38, 160)--(36, 162)--(41, 169)--(42, 179)--(48, 149)--(52, 156)--(60, 148)--(65, 151)--(67, 158)--(68, 160)--(60, 165)--(52, 174)--(48, 160)--(45, 173)--(96, 401)--(95, 406)--(87, 414)--(83, 409)--(85, 413)--(76, 388)--(75, 386)--(83, 391)--(84, 395)--(85, 403)--(88, 392)--(88, 388)--(92, 375)--(93, 387)--(93, 392)--(94, 396)--(100, 394)--(99, 385)--(99, 380)--(104, 377)--(106, 389)--(110, 383)--(104, 400)--(322, 498)--(318, 494)--(320, 493)--(317, 480)--(320, 479)--(327, 492)--(331, 499)--(331, 503)--(333, 504)--(335, 495)--(332, 495)--(333, 486)--(332, 483)--(328, 482)--(334, 466)--(335, 468)--(340, 495)--(340, 500)--(350, 499)--(353, 492)--(350, 488)--(349, 482)--(356, 476)--(347, 476)--(338, 475)--(340, 470)--(344, 470)--(344, 467)--(327, 470)--(332, 476)--(535, 407)--(538, 397)--(544, 387)--(545, 391)--(545, 398)--(559, 388)--(564, 396)--(559, 402)--(561, 410)--(567, 407)--(566, 417)--(558, 414)--(556, 412)--(553, 414)--(553, 417)--(557, 422)--(541, 404)--(540, 408)--(540, 411)--(533, 420)--(528, 409)--(531, 407)--(393, 243)--(389, 238)--(386, 235)--(383, 236)--(372, 238)--(372, 241)--(370, 243)--(367, 250)--(377, 254)--(374, 257)--(371, 267)--(379, 264)--(379, 267)--(378, 269)--(385, 266)--(391, 264)--(399, 263)--(402, 260)--(405, 254)--(384, 258)--(380, 259)--(382, 232)--(393, 102)--(397, 96)--(399, 97)--(395, 72)--(395, 79)--(393, 87)--(389, 87)--(390, 78)--(386, 65)--(382, 72)--(378, 89)--(378, 80)--(367, 86)--(367, 79)--(361, 82)--(365, 90)--(366, 95)--(369, 107)--(371, 108)--(378, 92)--(377, 101)--(375, 108)--(384, 97)--(385, 90)--(386, 82)
