expStartTime,subjectID,condition,block,timespent,patch_number,patch_center_coordinates,patch_times_entered,patch_color,patch_value_per_berry,patch_points_scored,total_points_scored,total_patches_entered,unique_patches_entered,all_encountered_berry_coords
20190307113548,0064,sad,baseline,300.021014072,1,(225, 528),0,(255, 0, 0),1,0,85,5,3,(243, 425)--(242, 427)--(231, 434)--(229, 441)--(238, 448)--(243, 442)--(242, 431)--(249, 441)--(249, 445)--(249, 448)--(250, 453)--(260, 429)--(264, 442)--(263, 439)--(264, 426)--(413, 474)--(415, 460)--(411, 470)--(409, 486)--(412, 489)--(419, 492)--(418, 485)--(418, 480)--(423, 489)--(425, 496)--(426, 494)--(429, 494)--(428, 481)--(430, 471)--(429, 451)--(435, 455)--(439, 486)--(439, 473)--(450, 120)--(451, 138)--(460, 124)--(458, 142)--(458, 145)--(464, 146)--(463, 137)--(465, 133)--(464, 121)--(463, 110)--(471, 125)--(470, 128)--(469, 132)--(476, 139)--(476, 117)--(478, 110)--(481, 116)--(481, 138)--(479, 142)--(484, 133)--(485, 119)--(490, 121)--(495, 128)--(484, 110)--(482, 123)--(487, 133)--(460, 109)--(240, 411)--(236, 411)--(234, 417)--(228, 423)--(224, 423)--(221, 432)--(221, 443)--(222, 445)--(249, 455)--(254, 453)--(232, 437)--(236, 420)--(238, 423)--(245, 439)--(409, 460)--(407, 463)--(403, 468)--(405, 469)--(422, 465)--(421, 472)--(425, 470)--(443, 468)--(448, 477)--(447, 472)--(447, 466)
20190307113548,0064,sad,baseline,300.021112179,2,(41, 560),0,(255, 0, 0),1,0,85,5,3,(243, 425)--(242, 427)--(231, 434)--(229, 441)--(238, 448)--(243, 442)--(242, 431)--(249, 441)--(249, 445)--(249, 448)--(250, 453)--(260, 429)--(264, 442)--(263, 439)--(264, 426)--(413, 474)--(415, 460)--(411, 470)--(409, 486)--(412, 489)--(419, 492)--(418, 485)--(418, 480)--(423, 489)--(425, 496)--(426, 494)--(429, 494)--(428, 481)--(430, 471)--(429, 451)--(435, 455)--(439, 486)--(439, 473)--(450, 120)--(451, 138)--(460, 124)--(458, 142)--(458, 145)--(464, 146)--(463, 137)--(465, 133)--(464, 121)--(463, 110)--(471, 125)--(470, 128)--(469, 132)--(476, 139)--(476, 117)--(478, 110)--(481, 116)--(481, 138)--(479, 142)--(484, 133)--(485, 119)--(490, 121)--(495, 128)--(484, 110)--(482, 123)--(487, 133)--(460, 109)--(240, 411)--(236, 411)--(234, 417)--(228, 423)--(224, 423)--(221, 432)--(221, 443)--(222, 445)--(249, 455)--(254, 453)--(232, 437)--(236, 420)--(238, 423)--(245, 439)--(409, 460)--(407, 463)--(403, 468)--(405, 469)--(422, 465)--(421, 472)--(425, 470)--(443, 468)--(448, 477)--(447, 472)--(447, 466)
20190307113548,0064,sad,baseline,300.021171648,3,(426, 473),2,(255, 0, 0),1,29,85,5,3,(243, 425)--(242, 427)--(231, 434)--(229, 441)--(238, 448)--(243, 442)--(242, 431)--(249, 441)--(249, 445)--(249, 448)--(250, 453)--(260, 429)--(264, 442)--(263, 439)--(264, 426)--(413, 474)--(415, 460)--(411, 470)--(409, 486)--(412, 489)--(419, 492)--(418, 485)--(418, 480)--(423, 489)--(425, 496)--(426, 494)--(429, 494)--(428, 481)--(430, 471)--(429, 451)--(435, 455)--(439, 486)--(439, 473)--(450, 120)--(451, 138)--(460, 124)--(458, 142)--(458, 145)--(464, 146)--(463, 137)--(465, 133)--(464, 121)--(463, 110)--(471, 125)--(470, 128)--(469, 132)--(476, 139)--(476, 117)--(478, 110)--(481, 116)--(481, 138)--(479, 142)--(484, 133)--(485, 119)--(490, 121)--(495, 128)--(484, 110)--(482, 123)--(487, 133)--(460, 109)--(240, 411)--(236, 411)--(234, 417)--(228, 423)--(224, 423)--(221, 432)--(221, 443)--(222, 445)--(249, 455)--(254, 453)--(232, 437)--(236, 420)--(238, 423)--(245, 439)--(409, 460)--(407, 463)--(403, 468)--(405, 469)--(422, 465)--(421, 472)--(425, 470)--(443, 468)--(448, 477)--(447, 472)--(447, 466)
20190307113548,0064,sad,baseline,300.021229305,4,(472, 129),1,(255, 0, 0),1,27,85,5,3,(243, 425)--(242, 427)--(231, 434)--(229, 441)--(238, 448)--(243, 442)--(242, 431)--(249, 441)--(249, 445)--(249, 448)--(250, 453)--(260, 429)--(264, 442)--(263, 439)--(264, 426)--(413, 474)--(415, 460)--(411, 470)--(409, 486)--(412, 489)--(419, 492)--(418, 485)--(418, 480)--(423, 489)--(425, 496)--(426, 494)--(429, 494)--(428, 481)--(430, 471)--(429, 451)--(435, 455)--(439, 486)--(439, 473)--(450, 120)--(451, 138)--(460, 124)--(458, 142)--(458, 145)--(464, 146)--(463, 137)--(465, 133)--(464, 121)--(463, 110)--(471, 125)--(470, 128)--(469, 132)--(476, 139)--(476, 117)--(478, 110)--(481, 116)--(481, 138)--(479, 142)--(484, 133)--(485, 119)--(490, 121)--(495, 128)--(484, 110)--(482, 123)--(487, 133)--(460, 109)--(240, 411)--(236, 411)--(234, 417)--(228, 423)--(224, 423)--(221, 432)--(221, 443)--(222, 445)--(249, 455)--(254, 453)--(232, 437)--(236, 420)--(238, 423)--(245, 439)--(409, 460)--(407, 463)--(403, 468)--(405, 469)--(422, 465)--(421, 472)--(425, 470)--(443, 468)--(448, 477)--(447, 472)--(447, 466)
20190307113548,0064,sad,baseline,300.021415861,5,(480, 401),0,(255, 0, 0),1,0,85,5,3,(243, 425)--(242, 427)--(231, 434)--(229, 441)--(238, 448)--(243, 442)--(242, 431)--(249, 441)--(249, 445)--(249, 448)--(250, 453)--(260, 429)--(264, 442)--(263, 439)--(264, 426)--(413, 474)--(415, 460)--(411, 470)--(409, 486)--(412, 489)--(419, 492)--(418, 485)--(418, 480)--(423, 489)--(425, 496)--(426, 494)--(429, 494)--(428, 481)--(430, 471)--(429, 451)--(435, 455)--(439, 486)--(439, 473)--(450, 120)--(451, 138)--(460, 124)--(458, 142)--(458, 145)--(464, 146)--(463, 137)--(465, 133)--(464, 121)--(463, 110)--(471, 125)--(470, 128)--(469, 132)--(476, 139)--(476, 117)--(478, 110)--(481, 116)--(481, 138)--(479, 142)--(484, 133)--(485, 119)--(490, 121)--(495, 128)--(484, 110)--(482, 123)--(487, 133)--(460, 109)--(240, 411)--(236, 411)--(234, 417)--(228, 423)--(224, 423)--(221, 432)--(221, 443)--(222, 445)--(249, 455)--(254, 453)--(232, 437)--(236, 420)--(238, 423)--(245, 439)--(409, 460)--(407, 463)--(403, 468)--(405, 469)--(422, 465)--(421, 472)--(425, 470)--(443, 468)--(448, 477)--(447, 472)--(447, 466)
20190307113548,0064,sad,baseline,300.021479555,6,(103, 500),0,(255, 0, 0),1,0,85,5,3,(243, 425)--(242, 427)--(231, 434)--(229, 441)--(238, 448)--(243, 442)--(242, 431)--(249, 441)--(249, 445)--(249, 448)--(250, 453)--(260, 429)--(264, 442)--(263, 439)--(264, 426)--(413, 474)--(415, 460)--(411, 470)--(409, 486)--(412, 489)--(419, 492)--(418, 485)--(418, 480)--(423, 489)--(425, 496)--(426, 494)--(429, 494)--(428, 481)--(430, 471)--(429, 451)--(435, 455)--(439, 486)--(439, 473)--(450, 120)--(451, 138)--(460, 124)--(458, 142)--(458, 145)--(464, 146)--(463, 137)--(465, 133)--(464, 121)--(463, 110)--(471, 125)--(470, 128)--(469, 132)--(476, 139)--(476, 117)--(478, 110)--(481, 116)--(481, 138)--(479, 142)--(484, 133)--(485, 119)--(490, 121)--(495, 128)--(484, 110)--(482, 123)--(487, 133)--(460, 109)--(240, 411)--(236, 411)--(234, 417)--(228, 423)--(224, 423)--(221, 432)--(221, 443)--(222, 445)--(249, 455)--(254, 453)--(232, 437)--(236, 420)--(238, 423)--(245, 439)--(409, 460)--(407, 463)--(403, 468)--(405, 469)--(422, 465)--(421, 472)--(425, 470)--(443, 468)--(448, 477)--(447, 472)--(447, 466)
20190307113548,0064,sad,baseline,300.02153691,7,(242, 434),2,(255, 0, 0),1,29,85,5,3,(243, 425)--(242, 427)--(231, 434)--(229, 441)--(238, 448)--(243, 442)--(242, 431)--(249, 441)--(249, 445)--(249, 448)--(250, 453)--(260, 429)--(264, 442)--(263, 439)--(264, 426)--(413, 474)--(415, 460)--(411, 470)--(409, 486)--(412, 489)--(419, 492)--(418, 485)--(418, 480)--(423, 489)--(425, 496)--(426, 494)--(429, 494)--(428, 481)--(430, 471)--(429, 451)--(435, 455)--(439, 486)--(439, 473)--(450, 120)--(451, 138)--(460, 124)--(458, 142)--(458, 145)--(464, 146)--(463, 137)--(465, 133)--(464, 121)--(463, 110)--(471, 125)--(470, 128)--(469, 132)--(476, 139)--(476, 117)--(478, 110)--(481, 116)--(481, 138)--(479, 142)--(484, 133)--(485, 119)--(490, 121)--(495, 128)--(484, 110)--(482, 123)--(487, 133)--(460, 109)--(240, 411)--(236, 411)--(234, 417)--(228, 423)--(224, 423)--(221, 432)--(221, 443)--(222, 445)--(249, 455)--(254, 453)--(232, 437)--(236, 420)--(238, 423)--(245, 439)--(409, 460)--(407, 463)--(403, 468)--(405, 469)--(422, 465)--(421, 472)--(425, 470)--(443, 468)--(448, 477)--(447, 472)--(447, 466)
20190307113548,0064,sad,baseline,300.021593058,8,(73, 414),0,(255, 0, 0),1,0,85,5,3,(243, 425)--(242, 427)--(231, 434)--(229, 441)--(238, 448)--(243, 442)--(242, 431)--(249, 441)--(249, 445)--(249, 448)--(250, 453)--(260, 429)--(264, 442)--(263, 439)--(264, 426)--(413, 474)--(415, 460)--(411, 470)--(409, 486)--(412, 489)--(419, 492)--(418, 485)--(418, 480)--(423, 489)--(425, 496)--(426, 494)--(429, 494)--(428, 481)--(430, 471)--(429, 451)--(435, 455)--(439, 486)--(439, 473)--(450, 120)--(451, 138)--(460, 124)--(458, 142)--(458, 145)--(464, 146)--(463, 137)--(465, 133)--(464, 121)--(463, 110)--(471, 125)--(470, 128)--(469, 132)--(476, 139)--(476, 117)--(478, 110)--(481, 116)--(481, 138)--(479, 142)--(484, 133)--(485, 119)--(490, 121)--(495, 128)--(484, 110)--(482, 123)--(487, 133)--(460, 109)--(240, 411)--(236, 411)--(234, 417)--(228, 423)--(224, 423)--(221, 432)--(221, 443)--(222, 445)--(249, 455)--(254, 453)--(232, 437)--(236, 420)--(238, 423)--(245, 439)--(409, 460)--(407, 463)--(403, 468)--(405, 469)--(422, 465)--(421, 472)--(425, 470)--(443, 468)--(448, 477)--(447, 472)--(447, 466)
20190307113548,0064,sad,baseline,300.021686638,9,(36, 64),0,(255, 0, 0),1,0,85,5,3,(243, 425)--(242, 427)--(231, 434)--(229, 441)--(238, 448)--(243, 442)--(242, 431)--(249, 441)--(249, 445)--(249, 448)--(250, 453)--(260, 429)--(264, 442)--(263, 439)--(264, 426)--(413, 474)--(415, 460)--(411, 470)--(409, 486)--(412, 489)--(419, 492)--(418, 485)--(418, 480)--(423, 489)--(425, 496)--(426, 494)--(429, 494)--(428, 481)--(430, 471)--(429, 451)--(435, 455)--(439, 486)--(439, 473)--(450, 120)--(451, 138)--(460, 124)--(458, 142)--(458, 145)--(464, 146)--(463, 137)--(465, 133)--(464, 121)--(463, 110)--(471, 125)--(470, 128)--(469, 132)--(476, 139)--(476, 117)--(478, 110)--(481, 116)--(481, 138)--(479, 142)--(484, 133)--(485, 119)--(490, 121)--(495, 128)--(484, 110)--(482, 123)--(487, 133)--(460, 109)--(240, 411)--(236, 411)--(234, 417)--(228, 423)--(224, 423)--(221, 432)--(221, 443)--(222, 445)--(249, 455)--(254, 453)--(232, 437)--(236, 420)--(238, 423)--(245, 439)--(409, 460)--(407, 463)--(403, 468)--(405, 469)--(422, 465)--(421, 472)--(425, 470)--(443, 468)--(448, 477)--(447, 472)--(447, 466)
