"subjectID" "window" "condition" "entertime" "actual" "optimal"
1 "9" "excited" 17.7986581962475 19.2900816704174 26.7843098012048
1 "9" "excited" 20.1326942785428 27.9772113725792 76.4782484404739
1 "9" "excited" 28.4188477392343 29.6293593905886 76.4782484404739
1 "9" "excited" 38.4236734028536 70.5896715825888 76.4782484404739
1 "9" "excited" 76.7934564049621 109.20413529125 115.241666251598
1 "9" "excited" 115.009077777828 152.318332299435 154.15680176774
1 "9" "excited" 161.83692662039 186.893623488961 189.102104473534
1 "9" "excited" 194.560413015949 232.860544177643 232.025011886057
1 "9" "excited" 259.359296707675 290.320520843238 284.286724293289
2 "9" "sad" 9.54702758017994 55.116708550867 48.2328290626542
2 "9" "sad" 60.2650214854628 115.629519984424 94.0643404710048
2 "9" "sad" 123.883732176575 175.502029308375 158.537941048177
2 "9" "sad" 200.639740333051 249.914261607961 244.926824453128
2 "9" "sad" 257.594399139072 300.001480059347 300.001480059347
3 "9" "excited" 17.3823508724796 18.6614604165503 51.4179322815179
3 "9" "excited" 19.5525218968903 157.124002433072 51.4179322815179
3 "9" "excited" 172.194873644793 300.012495000279 208.718816609488
4 "9" "sad" 7.69469659807677 10.5948923607285 16.6804993532436
4 "9" "sad" 11.270432292838 71.8753693755971 57.8332612367309
4 "9" "sad" 77.866512813624 123.095924303096 102.685861770739
4 "9" "sad" 125.612970747294 175.590897112161 150.556464921959
4 "9" "sad" 179.574260758267 226.03163476153 203.8349864234
4 "9" "sad" 235.652331567897 281.373761163527 279.58877768336
4 "9" "sad" 293.642683804829 300.01362157887 300.01362157887
5 "9" "excited" 14.425399638058 17.1548837272484 62.1638863942693
5 "9" "excited" 21.0996931492128 21.6138962805096 62.1638863942693
5 "9" "excited" 27.4564611485849 28.5472859628972 62.1638863942693
5 "9" "excited" 37.3931759282878 38.4660530657156 62.1638863942693
5 "9" "excited" 40.9333238747421 65.0293103630439 62.1638863942693
5 "9" "excited" 66.9055192389255 92.2620656657666 80.9976221705354
5 "9" "excited" 97.2770927510464 133.243353654211 137.589653106166
5 "9" "excited" 140.78909072248 179.452905422641 157.747221966471
5 "9" "excited" 191.274265135381 231.657246916021 219.181776715866
5 "9" "excited" 235.461077645475 300.015148436993 256.003360114228
6 "9" "sad" 6.87396417105762 11.5908633027287 73.5609389362405
6 "9" "sad" 28.7066684577616 31.7757196956547 73.5609389362405
6 "9" "sad" 32.6009430416716 76.5715433251275 73.5609389362405
6 "9" "sad" 80.8041860303651 112.351830614743 116.255066207623
6 "9" "sad" 124.558708117433 164.99669452423 153.199699035676
6 "9" "sad" 170.179218368182 214.130363738176 216.939290032104
6 "9" "sad" 216.210440473513 260.074963964277 263.882773037581
6 "9" "sad" 265.244190135796 300.002097392297 300.002097392297
7 "9" "excited" 7.96417860436472 9.45392151683603 17.2811830886426
7 "9" "excited" 10.1931466469042 28.3088207903861 17.2811830886426
7 "9" "excited" 48.5267579018228 51.1863373668187 100.230583952292
7 "9" "excited" 78.8989535678762 126.152437977049 100.230583952292
7 "9" "excited" 131.239911733231 191.867762253278 191.39827843577
7 "9" "excited" 201.508764340708 266.650182253972 261.834413172396
8 "9" "sad" 7.35477005881916 11.3107210292526 47.5788555843505
8 "9" "sad" 12.1525833196234 56.8085685521909 47.5788555843505
8 "9" "sad" 60.3088210656278 73.3888749190614 96.3507141466389
8 "9" "sad" 79.4017134085692 81.2140136656106 96.3507141466389
8 "9" "sad" 85.5943964053437 99.2431425168933 166.136142627076
8 "9" "sad" 101.302410876945 106.924936645239 166.136142627076
8 "9" "sad" 116.666441069884 161.466877874359 166.136142627076
8 "9" "sad" 192.23829419853 232.487303841736 229.881841219913
8 "9" "sad" 241.91126499723 284.808888533354 284.951996486245
8 "9" "sad" 295.97752524757 300.027539209013 300.027539209013
10 "9" "sad" 10.1424585870935 49.9292707555072 51.5548099345695
10 "9" "sad" 60.4009783634072 91.4647307689405 95.7539888458723
10 "9" "sad" 95.5372630879878 127.693664183779 132.200556347966
10 "9" "sad" 149.009854875591 181.403124665112 182.676014097368
10 "9" "sad" 193.355322511264 227.108251790471 205.776740851427
10 "9" "sad" 231.219564551307 266.347166564785 255.743924773786
10 "9" "sad" 272.031759529685 300.020807353574 300.020807353574
11 "9" "excited" 12.0570668719388 14.1367728497362 35.8843535813202
11 "9" "excited" 15.2020044224079 55.6676806508335 49.864760956025
11 "9" "excited" 57.4553591885712 94.7790100145652 71.0373519889515
11 "9" "excited" 100.567108152777 101.799267057589 123.250703434536
11 "9" "excited" 103.410516576483 152.247228901115 146.839229927476
11 "9" "excited" 160.499863403443 205.353613016671 194.549137479529
11 "9" "excited" 216.473704785408 288.641049906797 233.103725539028
11 "9" "excited" 294.804540741244 300.023234395164 300.023234395164
12 "9" "sad" 38.5477505543053 39.6239417636041 78.9759703927757
12 "9" "sad" 40.428412128457 103.242414280777 78.9759703927757
12 "9" "sad" 106.639889455898 182.690396820725 151.349693679335
12 "9" "sad" 214.407437728382 215.031409376929 246.00509553371
12 "9" "sad" 215.710343963619 278.25691270427 246.00509553371
12 "9" "sad" 279.801656350324 300.000592567102 293.864590417801
13 "9" "excited" 11.9084648857347 42.867313976427 28.8553994720295
13 "9" "excited" 46.743901095335 77.857845524099 77.1197536137605
13 "9" "excited" 82.3796316281204 115.152595553154 121.51554675437
13 "9" "excited" 171.355930612177 206.504073281945 214.019186852961
13 "9" "excited" 211.619064595638 246.576130540634 245.038951484974
13 "9" "excited" 248.478039415157 291.967937186904 283.893643675749
13 "9" "excited" 296.364296031769 300.006510428851 300.006510428851
