"subjectID" "window" "condition" "entertime" "actual" "optimal"
1 "9" "excited" 10.5238368644356 44.2882230684592 41.9003297909111
1 "9" "excited" 74.6088380945481 117.949148505526 119.580791226505
1 "9" "excited" 123.594940992331 163.086022148063 159.269772285791
1 "9" "excited" 168.925540909921 210.535530631312 189.381314062073
1 "9" "excited" 217.274199483504 254.719294353104 252.998662422401
1 "9" "excited" 262.002836050901 296.338339212215 286.058202586708
2 "9" "sad" 16.4246176463041 66.2774303778936 40.8289105127079
2 "9" "sad" 81.6040613335628 124.945261651732 122.40236000489
2 "9" "sad" 135.02377301933 182.592115808682 152.324203030454
2 "9" "sad" 201.842780446795 236.459870106152 233.816124587007
2 "9" "sad" 243.102597726028 276.14333965747 276.025683542603
2 "9" "sad" 281.362476888223 300.018588736395 296.785453579477
3 "9" "excited" 5.99366495757973 125.817630109715 41.2072750653926
3 "9" "excited" 134.83738538376 264.23684171601 208.152544537135
3 "9" "excited" 271.242976316794 300.007925896969 300.007925896969
4 "9" "sad" 6.55185657555729 51.6822598586947 25.068146835573
4 "9" "sad" 60.0561541468627 101.245722125708 83.1604496050787
4 "9" "sad" 104.740874245514 152.33238324803 127.095064275656
4 "9" "sad" 159.347666319013 194.706698342885 181.733035588956
4 "9" "sad" 204.958491676691 232.442298618794 231.952146672563
4 "9" "sad" 238.478592742745 271.848327866972 272.835831357343
4 "9" "sad" 282.518826873065 300.01294508835 298.980145410747
5 "9" "excited" 6.58533847920947 72.1060499262683 24.2809264991993
5 "9" "excited" 75.3616401800956 133.666191020275 133.963984803868
5 "9" "excited" 144.619521928587 211.327237573147 208.293134119302
5 "9" "excited" 219.552155124921 300.016305504447 248.498723542987
6 "9" "sad" 18.8753002473824 52.2471807612254 60.4824732807375
6 "9" "sad" 54.5144802478956 92.9450835198638 89.3898034373929
6 "9" "sad" 100.189296899645 135.828419846741 129.154767809194
6 "9" "sad" 139.825945720767 179.989780797148 165.93143447083
6 "9" "sad" 185.092485098945 212.780605762395 208.045941585149
6 "9" "sad" 217.340785495753 243.892978052547 245.379481900633
6 "9" "sad" 254.293807289253 279.767760592993 281.877870971734
7 "9" "excited" 4.24978288005047 76.4537077929233 31.9573934738739
7 "9" "excited" 81.005232009684 151.44729486806 152.849927777618
7 "9" "excited" 156.68970276377 240.780956535258 212.799346753464
7 "9" "excited" 245.959518034465 300.021436387704 300.021436387704
8 "9" "sad" 15.4516177915564 60.4187662914938 62.4313539278442
